stage_id,stage_name,animal_id,animal_name,species,life_stage,prefab_name,prefab_path,density_per_100m2,spawn_index,x,y,z
vegetative,Vegetative Stage,brown_planthopper_eggs,Brown Planthopper - Eggs,Brown Planthopper,eggs,SM_BPH_Eggs,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Eggs.prefab,25,1,4.744,-14.808,0.741
vegetative,Vegetative Stage,brown_planthopper_eggs,Brown Planthopper - Eggs,Brown Planthopper,eggs,SM_BPH_Eggs,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Eggs.prefab,25,2,4.779,-14.804,0.742
vegetative,Vegetative Stage,brown_planthopper_eggs,Brown Planthopper - Eggs,Brown Planthopper,eggs,SM_BPH_Eggs,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Eggs.prefab,25,3,5.017,-15.295,0.742
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,1,11.206,-12.103,0.587
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,2,11.267,-12.169,0.736
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,3,11.269,-12.157,0.607
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,4,11.256,-12.143,0.717
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,5,11.261,-12.139,0.604
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,6,11.26,-12.216,0.736
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,7,11.217,-12.106,0.643
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,8,11.271,-12.168,0.662
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,9,11.238,-12.118,0.665
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,10,11.27,-12.192,0.684
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,11,11.239,-12.114,0.592
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,12,11.274,-12.191,0.611
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,13,11.216,-12.111,0.717
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,14,11.067,-11.691,0.736
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,15,11.055,-11.693,0.607
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,16,11.046,-11.711,0.717
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,17,11.04,-11.707,0.604
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,18,11.113,-11.682,0.736
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,19,11.025,-11.76,0.643
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,20,11.064,-11.687,0.662
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,21,11.029,-11.736,0.665
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,22,11.087,-11.68,0.684
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,23,11.024,-11.737,0.592
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,24,11.084,-11.677,0.611
vegetative,Vegetative Stage,brown_planthopper_nymph,Brown Planthopper - Nymph,Brown Planthopper,nymph,SM_BPH_Nymph,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BPH_Nymph.prefab,25,25,11.03,-11.759,0.717
vegetative,Vegetative Stage,brown_planthopper_adult,Brown Planthopper - Adult,Brown Planthopper,adult,SM_BrownPlantHopper_01,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BrownPlantHopper_01.prefab,25,1,5.051,-14.948,0.616
vegetative,Vegetative Stage,brown_planthopper_adult,Brown Planthopper - Adult,Brown Planthopper,adult,SM_BrownPlantHopper_01,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BrownPlantHopper_01.prefab,25,2,4.997,-15.008,0.74
vegetative,Vegetative Stage,brown_planthopper_adult,Brown Planthopper - Adult,Brown Planthopper,adult,SM_BrownPlantHopper_01,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BrownPlantHopper_01.prefab,25,3,4.992,-15.0,0.935
vegetative,Vegetative Stage,brown_planthopper_adult,Brown Planthopper - Adult,Brown Planthopper,adult,SM_BrownPlantHopper_01,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BrownPlantHopper_01.prefab,25,4,5.0,-14.988,1.129
vegetative,Vegetative Stage,brown_planthopper_adult,Brown Planthopper - Adult,Brown Planthopper,adult,SM_BrownPlantHopper_01,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BrownPlantHopper_01.prefab,25,5,5.025,-14.915,0.935
vegetative,Vegetative Stage,brown_planthopper_adult,Brown Planthopper - Adult,Brown Planthopper,adult,SM_BrownPlantHopper_01,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BrownPlantHopper_01.prefab,25,6,4.942,-14.889,0.846
vegetative,Vegetative Stage,brown_planthopper_adult,Brown Planthopper - Adult,Brown Planthopper,adult,SM_BrownPlantHopper_01,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BrownPlantHopper_01.prefab,25,7,5.027,-14.915,1.083
vegetative,Vegetative Stage,brown_planthopper_adult,Brown Planthopper - Adult,Brown Planthopper,adult,SM_BrownPlantHopper_01,simple.CADT.VU1.New\Assets\Assets\Prefabs\Animals\SM_BrownPlantHopper_01.prefab,25,8,4.962,-14.885,1.025
