stage_id,animal_id,point_id,x_local_m,y_local_m,z_m,coordinate_frame,spawn_surface,spawn_weight,source_x,source_y,source_z
vegetative,brown_planthopper_eggs,1,-3.6610,-13.7482,1.367,gama_field_local_m,leaf,1,34.98303,-67.695535,1.366715
vegetative,brown_planthopper_eggs,2,-3.6610,-7.6998,1.367,gama_field_local_m,leaf,1,34.98303,-55.695535,1.366715
vegetative,brown_planthopper_eggs,3,-3.6610,-1.6513,1.367,gama_field_local_m,leaf,1,34.98303,-43.695535,1.366715
vegetative,brown_planthopper_eggs,4,-3.6610,2.8851,1.367,gama_field_local_m,leaf,1,34.98303,-34.695535,1.366715
vegetative,brown_planthopper_eggs,5,-2.0091,-6.1876,1.367,gama_field_local_m,leaf,1,37.98303,-52.695535,1.366715
vegetative,brown_planthopper_eggs,6,-2.0091,2.8851,1.367,gama_field_local_m,leaf,1,37.98303,-34.695535,1.366715
vegetative,brown_planthopper_eggs,7,-0.3572,-12.2361,1.367,gama_field_local_m,leaf,1,40.98303,-64.695535,1.366715
vegetative,brown_planthopper_eggs,8,1.2947,-9.2119,1.367,gama_field_local_m,leaf,1,43.98303,-58.695535,1.366715
vegetative,brown_planthopper_eggs,9,2.9466,-3.1634,1.367,gama_field_local_m,leaf,1,46.98303,-46.695535,1.366715
vegetative,brown_planthopper_eggs,10,2.9466,4.3972,1.367,gama_field_local_m,leaf,1,46.98303,-31.695535,1.366715
vegetative,brown_planthopper_eggs,11,4.5985,-7.6998,1.367,gama_field_local_m,leaf,1,49.98303,-55.695535,1.366715
vegetative,brown_planthopper_eggs,12,4.5985,1.3730,1.367,gama_field_local_m,leaf,1,49.98303,-37.695535,1.366715
vegetative,brown_planthopper_eggs,13,6.2504,-0.1392,1.367,gama_field_local_m,leaf,1,52.98303,-40.695535,1.366715
vegetative,brown_planthopper_eggs,14,7.9023,-10.7240,1.367,gama_field_local_m,leaf,1,55.98303,-61.695535,1.366715
vegetative,brown_planthopper_eggs,15,9.5541,-1.6513,1.367,gama_field_local_m,leaf,1,58.98303,-43.695535,1.366715
vegetative,brown_planthopper_eggs,16,11.2060,-6.1876,1.367,gama_field_local_m,leaf,1,61.98303,-52.695535,1.366715
vegetative,brown_planthopper_eggs,17,12.8579,-12.2361,1.367,gama_field_local_m,leaf,1,64.98303,-64.695535,1.366715
vegetative,brown_planthopper_eggs,18,12.8579,4.3972,1.367,gama_field_local_m,leaf,1,64.98303,-31.695535,1.366715
vegetative,brown_planthopper_eggs,19,14.5098,-9.2119,1.367,gama_field_local_m,leaf,1,67.98303,-58.695535,1.366715
vegetative,brown_planthopper_eggs,20,14.5098,-1.6513,1.367,gama_field_local_m,leaf,1,67.98303,-43.695535,1.366715
vegetative,brown_planthopper_eggs,21,-3.6588,-13.7624,1.368,gama_field_local_m,leaf,1,34.986934,-67.72362,1.367558
vegetative,brown_planthopper_eggs,22,-3.6588,-7.7139,1.368,gama_field_local_m,leaf,1,34.986934,-55.72362,1.367558
vegetative,brown_planthopper_eggs,23,-3.6588,-1.6654,1.368,gama_field_local_m,leaf,1,34.986934,-43.72362,1.367558
vegetative,brown_planthopper_eggs,24,-3.6588,2.8709,1.368,gama_field_local_m,leaf,1,34.986934,-34.72362,1.367558
vegetative,brown_planthopper_eggs,25,-2.0069,-6.2018,1.368,gama_field_local_m,leaf,1,37.986934,-52.72362,1.367558
vegetative,brown_planthopper_eggs,26,-2.0069,2.8709,1.368,gama_field_local_m,leaf,1,37.986934,-34.72362,1.367558
vegetative,brown_planthopper_eggs,27,-0.3551,-12.2503,1.368,gama_field_local_m,leaf,1,40.986934,-64.72362,1.367558
vegetative,brown_planthopper_eggs,28,1.2968,-9.2260,1.368,gama_field_local_m,leaf,1,43.986934,-58.72362,1.367558
vegetative,brown_planthopper_eggs,29,2.9487,-3.1775,1.368,gama_field_local_m,leaf,1,46.986934,-46.72362,1.367558
