stage_id,stage_name,animal_id,species_id,species_density_per_100m2,life_stage_fraction,density_sd,sample_size,presence_status,source_id,confidence,fraction_basis
vegetative,Vegetative Stage,brown_planthopper_eggs,brown_planthopper,25,0.166667,,40,observed,legacy_animal_data_v1,low,unique_spawn_point_share
vegetative,Vegetative Stage,brown_planthopper_nymph,brown_planthopper,25,0.416667,,100,observed,legacy_animal_data_v1,low,unique_spawn_point_share
vegetative,Vegetative Stage,brown_planthopper_adult,brown_planthopper,25,0.416667,,100,observed,legacy_animal_data_v1,low,unique_spawn_point_share
vegetative,Vegetative Stage,leaf_folder_eggs,leaf_folder,12,0.200000,,24,observed,legacy_animal_data_v1,low,unique_spawn_point_share
vegetative,Vegetative Stage,leaf_folder_larva,leaf_folder,12,0.400000,,48,observed,legacy_animal_data_v1,low,unique_spawn_point_share
vegetative,Vegetative Stage,leaf_folder_adult,leaf_folder,12,0.400000,,48,observed,legacy_animal_data_v1,low,unique_spawn_point_share
vegetative,Vegetative Stage,yellow_stem_borer_eggs,yellow_stem_borer,6,0.400000,,16,observed,legacy_animal_data_v1,low,unique_spawn_point_share
vegetative,Vegetative Stage,yellow_stem_borer_adult,yellow_stem_borer,6,0.600000,,24,observed,legacy_animal_data_v1,low,unique_spawn_point_share
vegetative,Vegetative Stage,golden_apple_snail_eggs,golden_apple_snail,18,0.428571,,12,observed,legacy_animal_data_v1,low,unique_spawn_point_share
vegetative,Vegetative Stage,golden_apple_snail_adult,golden_apple_snail,18,0.571429,,16,observed,legacy_animal_data_v1,low,unique_spawn_point_share
vegetative,Vegetative Stage,native_snail_adult,native_snail,1,1.000000,,16,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,river_snail_adult,river_snail,1,1.000000,,8,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,rat,rat,1,1.000000,,4,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,bird,bird,2,1.000000,,4,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,ladybug,ladybug,8,1.000000,,32,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,dragonfly,dragonfly,6,1.000000,,24,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,duck,duck,2,1.000000,,12,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,fish,fish,5,1.000000,,8,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,frog,frog,7,1.000000,,8,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,weaver_ant,weaver_ant,4,1.000000,,16,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,lynx_spider,lynx_spider,9,1.000000,,12,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,wasp,wasp,6,1.000000,,24,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,trichogramma,trichogramma,12,1.000000,,48,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,worm,worm,8,1.000000,,16,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,bee,bee,5,1.000000,,20,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,butterfly,butterfly,4,1.000000,,16,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,cricket,cricket,10,1.000000,,20,observed,legacy_animal_data_v1,low,single_life_stage
vegetative,Vegetative Stage,snake,snake,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
vegetative,Vegetative Stage,yellow_stem_borer_larva,yellow_stem_borer,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
reproductive,Reproductive Stage,brown_planthopper_eggs,brown_planthopper,60,0.200000,,120,observed,legacy_animal_data_v1,low,unique_spawn_point_share
reproductive,Reproductive Stage,brown_planthopper_nymph,brown_planthopper,60,0.400000,,240,observed,legacy_animal_data_v1,low,unique_spawn_point_share
reproductive,Reproductive Stage,brown_planthopper_adult,brown_planthopper,60,0.400000,,240,observed,legacy_animal_data_v1,low,unique_spawn_point_share
reproductive,Reproductive Stage,leaf_folder_eggs,leaf_folder,18,0.160000,,32,observed,legacy_animal_data_v1,low,unique_spawn_point_share
reproductive,Reproductive Stage,leaf_folder_larva,leaf_folder,18,0.480000,,96,observed,legacy_animal_data_v1,low,unique_spawn_point_share
reproductive,Reproductive Stage,leaf_folder_adult,leaf_folder,18,0.360000,,72,observed,legacy_animal_data_v1,low,unique_spawn_point_share
reproductive,Reproductive Stage,yellow_stem_borer_eggs,yellow_stem_borer,10,0.426667,,32,observed,legacy_animal_data_v1,low,unique_spawn_point_share
reproductive,Reproductive Stage,yellow_stem_borer_adult,yellow_stem_borer,10,0.533333,,40,observed,legacy_animal_data_v1,low,unique_spawn_point_share
reproductive,Reproductive Stage,golden_apple_snail_eggs,golden_apple_snail,1,0.428571,,12,observed,legacy_animal_data_v1,low,unique_spawn_point_share
reproductive,Reproductive Stage,golden_apple_snail_adult,golden_apple_snail,1,0.571429,,16,observed,legacy_animal_data_v1,low,unique_spawn_point_share
reproductive,Reproductive Stage,native_snail_adult,native_snail,1,1.000000,,16,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,river_snail_adult,river_snail,1,1.000000,,20,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,rat,rat,2,1.000000,,8,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,bird,bird,3,1.000000,,4,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,ladybug,ladybug,15,1.000000,,40,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,dragonfly,dragonfly,10,1.000000,,32,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,duck,duck,2,1.000000,,12,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,fish,fish,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
reproductive,Reproductive Stage,frog,frog,8,1.000000,,12,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,weaver_ant,weaver_ant,5,1.000000,,20,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,lynx_spider,lynx_spider,16,1.000000,,16,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,wasp,wasp,12,1.000000,,40,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,trichogramma,trichogramma,18,1.000000,,71,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,worm,worm,7,1.000000,,12,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,bee,bee,4,1.000000,,16,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,butterfly,butterfly,3,1.000000,,12,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,cricket,cricket,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
reproductive,Reproductive Stage,snake,snake,1,1.000000,,1,observed,legacy_animal_data_v1,low,single_life_stage
reproductive,Reproductive Stage,yellow_stem_borer_larva,yellow_stem_borer,10,0.040000,,3,observed,vu3_reproductive_spec_v1,unknown,interaction_spec_spawn_share
